Company Name,Mes,Variable,Value
Unapa S.A.,08-2024,Cargas Sociales,1024620
Unknown Company,08-2024,Cargas Sociales,0
Viñas En Flor S. R. L.,08-2024,Cargas Sociales,6345013
Winehaus S.A.,08-2024,Cargas Sociales,40544
BA Comex S.A.,08-2024,Deuda Total,772835
Deposito Avellaneda Sur S.A.,08-2024,Deuda Total,0
Edelweiss Spedition Srl,08-2024,Deuda Total,0
El Llamito S.A.,08-2024,Deuda Total,0
El Marques S.A.,08-2024,Deuda Total,0
Jofa S.A.,08-2024,Deuda Total,37127869
L A R M Argentina Sociedad Anonima,08-2024,Deuda Total,1848
Liftvan International Company S A C,08-2024,Deuda Total,1848
Mercovan Argentina S.A.,08-2024,Deuda Total,0
Nerococina S.A.,08-2024,Deuda Total,0
U-Bros S.A.,08-2024,Deuda Total,0
Ulog S.A.,08-2024,Deuda Total,497616
Unapa S.A.,08-2024,Deuda Total,2236873
Unknown Company,08-2024,Deuda Total,0
Viñas En Flor S. R. L.,08-2024,Deuda Total,42272515
Winehaus S.A.,08-2024,Deuda Total,1940501
BA Comex S.A.,09-2024,Ventas Netas,5245855
Deposito Avellaneda Sur S.A.,09-2024,Ventas Netas,329737827
Edelweiss Spedition Srl,09-2024,Ventas Netas,25257605
El Llamito S.A.,09-2024,Ventas Netas,14370000
El Marques S.A.,09-2024,Ventas Netas,21190951
Jofa S.A.,09-2024,Ventas Netas,0
L A R M Argentina Sociedad Anonima,09-2024,Ventas Netas,35002628
Liftvan International Company S A C,09-2024,Ventas Netas,260837557
Mercovan Argentina S.A.,09-2024,Ventas Netas,141080650
Nerococina S.A.,09-2024,Ventas Netas,1282150
Procnost S.A.,09-2024,Ventas Netas,0
U-Bros S.A.,09-2024,Ventas Netas,9548340
Ulog S.A.,09-2024,Ventas Netas,1255418
Unapa S.A.,09-2024,Ventas Netas,0
Unknown Company,09-2024,Ventas Netas,0
Viñas En Flor S. R. L.,09-2024,Ventas Netas,135727257
Winehaus S.A.,09-2024,Ventas Netas,2057053
BA Comex S.A.,09-2024,IVA Ventas,1101626
Deposito Avellaneda Sur S.A.,09-2024,IVA Ventas,68487840
Edelweiss Spedition Srl,09-2024,IVA Ventas,3543024
El Llamito S.A.,09-2024,IVA Ventas,3017700
El Marques S.A.,09-2024,IVA Ventas,4450098
Jofa S.A.,09-2024,IVA Ventas,0
L A R M Argentina Sociedad Anonima,09-2024,IVA Ventas,3235936
Liftvan International Company S A C,09-2024,IVA Ventas,36393999
Mercovan Argentina S.A.,09-2024,IVA Ventas,14665597
Nerococina S.A.,09-2024,IVA Ventas,269251
Procnost S.A.,09-2024,IVA Ventas,0
U-Bros S.A.,09-2024,IVA Ventas,2005150
Ulog S.A.,09-2024,IVA Ventas,263637
Unapa S.A.,09-2024,IVA Ventas,0
Unknown Company,09-2024,IVA Ventas,0
Viñas En Flor S. R. L.,09-2024,IVA Ventas,28502515
Winehaus S.A.,09-2024,IVA Ventas,431981
BA Comex S.A.,09-2024,IVA Compras,123519
Deposito Avellaneda Sur S.A.,09-2024,IVA Compras,58927789
Edelweiss Spedition Srl,09-2024,IVA Compras,825167
El Llamito S.A.,09-2024,IVA Compras,0
El Marques S.A.,09-2024,IVA Compras,3230001
Jofa S.A.,09-2024,IVA Compras,17087298
L A R M Argentina Sociedad Anonima,09-2024,IVA Compras,1168594
Liftvan International Company S A C,09-2024,IVA Compras,15648921
Mercovan Argentina S.A.,09-2024,IVA Compras,8908336
Nerococina S.A.,09-2024,IVA Compras,694269
Procnost S.A.,09-2024,IVA Compras,0
U-Bros S.A.,09-2024,IVA Compras,327578
Ulog S.A.,09-2024,IVA Compras,38276
Unapa S.A.,09-2024,IVA Compras,3455939
Unknown Company,09-2024,IVA Compras,0
Viñas En Flor S. R. L.,09-2024,IVA Compras,4264507
Winehaus S.A.,09-2024,IVA Compras,38020
BA Comex S.A.,09-2024,Saldo IVA,-978107
Deposito Avellaneda Sur S.A.,09-2024,Saldo IVA,-9560051
Edelweiss Spedition Srl,09-2024,Saldo IVA,-2717857
El Llamito S.A.,09-2024,Saldo IVA,-3017700
El Marques S.A.,09-2024,Saldo IVA,-1220097
Jofa S.A.,09-2024,Saldo IVA,0
L A R M Argentina Sociedad Anonima,09-2024,Saldo IVA,-2067342
Liftvan International Company S A C,09-2024,Saldo IVA,-20745078
Mercovan Argentina S.A.,09-2024,Saldo IVA,-5757261
Nerococina S.A.,09-2024,Saldo IVA,425018
Procnost S.A.,09-2024,Saldo IVA,0
U-Bros S.A.,09-2024,Saldo IVA,-1677572
Ulog S.A.,09-2024,Saldo IVA,-225361
Unapa S.A.,09-2024,Saldo IVA,0
Unknown Company,09-2024,Saldo IVA,0
Viñas En Flor S. R. L.,09-2024,Saldo IVA,-24238008
Winehaus S.A.,09-2024,Saldo IVA,-393961
BA Comex S.A.,09-2024,Ingresos Brutos,0
Deposito Avellaneda Sur S.A.,09-2024,Ingresos Brutos,15234217
Edelweiss Spedition Srl,09-2024,Ingresos Brutos,793638
El Llamito S.A.,09-2024,Ingresos Brutos,718500
El Marques S.A.,09-2024,Ingresos Brutos,1055616
Jofa S.A.,09-2024,Ingresos Brutos,0
L A R M Argentina Sociedad Anonima,09-2024,Ingresos Brutos,1279223
Liftvan International Company S A C,09-2024,Ingresos Brutos,8073522
Mercovan Argentina S.A.,09-2024,Ingresos Brutos,4783283
Nerococina S.A.,09-2024,Ingresos Brutos,0
Procnost S.A.,09-2024,Ingresos Brutos,0
U-Bros S.A.,09-2024,Ingresos Brutos,360784
Ulog S.A.,09-2024,Ingresos Brutos,22460
Unapa S.A.,09-2024,Ingresos Brutos,0
Unknown Company,09-2024,Ingresos Brutos,0
Viñas En Flor S. R. L.,09-2024,Ingresos Brutos,6107726
Winehaus S.A.,09-2024,Ingresos Brutos,0
BA Comex S.A.,09-2024,Cargas Sociales,439624
Deposito Avellaneda Sur S.A.,09-2024,Cargas Sociales,14953557
Edelweiss Spedition Srl,09-2024,Cargas Sociales,0
El Llamito S.A.,09-2024,Cargas Sociales,0
El Marques S.A.,09-2024,Cargas Sociales,0
Jofa S.A.,09-2024,Cargas Sociales,7549014
L A R M Argentina Sociedad Anonima,09-2024,Cargas Sociales,3519991
Liftvan International Company S A C,09-2024,Cargas Sociales,20809306
Mercovan Argentina S.A.,09-2024,Cargas Sociales,16494710
Nerococina S.A.,09-2024,Cargas Sociales,156141
Procnost S.A.,09-2024,Cargas Sociales,0
U-Bros S.A.,09-2024,Cargas Sociales,723522
Ulog S.A.,09-2024,Cargas Sociales,197088
Unapa S.A.,09-2024,Cargas Sociales,1024620
Unknown Company,09-2024,Cargas Sociales,0
Viñas En Flor S. R. L.,09-2024,Cargas Sociales,6345013
Winehaus S.A.,09-2024,Cargas Sociales,40544
BA Comex S.A.,09-2024,Deuda Total,813497
Deposito Avellaneda Sur S.A.,09-2024,Deuda Total,0
Edelweiss Spedition Srl,09-2024,Deuda Total,0
El Llamito S.A.,09-2024,Deuda Total,0
El Marques S.A.,09-2024,Deuda Total,131716
Jofa S.A.,09-2024,Deuda Total,42891616
L A R M Argentina Sociedad Anonima,09-2024,Deuda Total,1848
Liftvan International Company S A C,09-2024,Deuda Total,1848
Mercovan Argentina S.A.,09-2024,Deuda Total,0
Nerococina S.A.,09-2024,Deuda Total,0
Procnost S.A.,09-2024,Deuda Total,0
U-Bros S.A.,09-2024,Deuda Total,0
Ulog S.A.,09-2024,Deuda Total,597352
Unapa S.A.,09-2024,Deuda Total,4406011
Unknown Company,09-2024,Deuda Total,0
Viñas En Flor S. R. L.,09-2024,Deuda Total,47437716
Winehaus S.A.,09-2024,Deuda Total,1940501
BA Comex S.A.,10-2024,Ventas Netas,3965957
Deposito Avellaneda Sur S.A.,10-2024,Ventas Netas,444334150
Edelweiss Spedition Srl,10-2024,Ventas Netas,42570609
El Llamito S.A.,10-2024,Ventas Netas,0
El Marques S.A.,10-2024,Ventas Netas,22281985
Jofa S.A.,10-2024,Ventas Netas,0
L A R M Argentina Sociedad Anonima,10-2024,Ventas Netas,29409856
Liftvan International Company S A C,10-2024,Ventas Netas,208883004
Mercovan Argentina S.A.,10-2024,Ventas Netas,163316232
Nerococina S.A.,10-2024,Ventas Netas,17413980
U-Bros S.A.,10-2024,Ventas Netas,7961271
Ulog S.A.,10-2024,Ventas Netas,0
Unapa S.A.,10-2024,Ventas Netas,1370200
Unknown Company,10-2024,Ventas Netas,0
Viñas En Flor S. R. L.,10-2024,Ventas Netas,66925624
Winehaus S.A.,10-2024,Ventas Netas,0
BA Comex S.A.,10-2024,IVA Ventas,832849
Deposito Avellaneda Sur S.A.,10-2024,IVA Ventas,92298676
Edelweiss Spedition Srl,10-2024,IVA Ventas,6415262
El Llamito S.A.,10-2024,IVA Ventas,0
El Marques S.A.,10-2024,IVA Ventas,4679215
Jofa S.A.,10-2024,IVA Ventas,0
L A R M Argentina Sociedad Anonima,10-2024,IVA Ventas,3765548
Liftvan International Company S A C,10-2024,IVA Ventas,32359248
Mercovan Argentina S.A.,10-2024,IVA Ventas,25436932
Nerococina S.A.,10-2024,IVA Ventas,3656935
U-Bros S.A.,10-2024,IVA Ventas,1671866
Ulog S.A.,10-2024,IVA Ventas,0
Unapa S.A.,10-2024,IVA Ventas,287742
Unknown Company,10-2024,IVA Ventas,0
Viñas En Flor S. R. L.,10-2024,IVA Ventas,14054100
Winehaus S.A.,10-2024,IVA Ventas,0
BA Comex S.A.,10-2024,IVA Compras,620073
Deposito Avellaneda Sur S.A.,10-2024,IVA Compras,56624648
Edelweiss Spedition Srl,10-2024,IVA Compras,1041519
El Llamito S.A.,10-2024,IVA Compras,0
El Marques S.A.,10-2024,IVA Compras,2907115
Jofa S.A.,10-2024,IVA Compras,23706573
